Title,Servings,Ready in (minutes),Source URL,Image,Calories,Carbs (g),Fat (g),Protein (g)
Home made coffee ice cream,6,45,http://www.foodista.com/recipe/4P6G3RHZ/home-made-coffee-ice-cream,https://img.spoonacular.com/recipes/646868-556x370.jpg,484.87,36.1,21.48,33.13
"Linguine with Prawns, Fresh Tomatoes and Spinach",4,45,http://www.foodista.com/recipe/GYVMPF7R/linguine-with-prawns-fresh-tomatoes-and-spinach,https://img.spoonacular.com/recipes/650139-556x370.jpg,725.48,21.54,4.66,87.99
South Carolina Style Pulled Pork,10,45,https://www.foodista.com/recipe/668T4HVK/south-carolina-style-pulled-pork,https://img.spoonacular.com/recipes/660680-556x370.jpg,691.95,20.7,6.14,79.27
Molten Chocolate Liquor Cakes,6,45,https://www.foodista.com/recipe/R3KJBX3L/molten-chocolate-liquor-cakes,https://img.spoonacular.com/recipes/652284-556x370.jpg,397.95,25.42,14.82,37.92
How to Cook Sweet Potatoes on the Grill,6,40,https://www.pinkwhen.com/how-to-cook-sweet-potatoes-on-the-grill/,https://img.spoonacular.com/recipes/1077392-556x370.jpg,174.69,7.78,4.9,25.88
Fried Yam and Spicy Mayo,1,45,https://www.afrolems.com/2014/02/18/fried-yam-and-spicy-mayo/,https://img.spoonacular.com/recipes/716279-556x370.jpg,101.35,10.53,1.65,1.42
"Endive Appetizer With Blue Cheese, Dried Cranberries and Walnuts",8,20,https://www.foodista.com/recipe/ZHRS3PMK/endive-with-blue-cheese-dried-cranberries-and-walnuts,https://img.spoonacular.com/recipes/642406-556x370.jpg,183.03,10.04,2.97,22.05
Sliced Baguette with Anchovy Chive Butter and Radishes,16,45,https://www.foodista.com/recipe/TBMVS4MV/sliced-baguette-with-anchovy-chive-butter-and-radishes,https://img.spoonacular.com/recipes/660243-556x370.jpg,135.04,6.67,3.83,15.5
Creme Brulee,8,240,https://www.foodista.com/recipe/GK4Y7M72/creme-brulee-burnt-cream,https://img.spoonacular.com/recipes/640730-556x370.jpg,166.64,14.25,8.31,7.01
"Basil, Olive and Feta Foccacia",8,45,https://www.foodista.com/recipe/33CWWLYH/basil-olive-and-feta-foccacia,https://img.spoonacular.com/recipes/634441-556x370.jpg,341.16,12.54,4.84,46.59
Mahi-Mahi With Lemon Caper Sauce,4,45,https://www.foodista.com/recipe/KB2P6WYL/mahi-mahi-with-lemon-caper-sauce,https://img.spoonacular.com/recipes/650632-556x370.jpg,217.1,6.99,3.95,2.92
(Houston's) Spinach Dip,8,45,https://www.foodista.com/recipe/4C85F47H/houston-s-spinach-dip,https://img.spoonacular.com/recipes/631823-556x370.png,304.64,25.97,15.89,10.59
White Chocolate Macadamia Banana Bread,8,45,https://www.foodista.com/recipe/2SRKJZC6/white-chocolate-macadamia-banana-bread,https://img.spoonacular.com/recipes/665182-556x370.jpg,519.88,24.68,10.29,69.2
Chicken Parmayonnaise,6,45,https://www.foodista.com/recipe/K6D2PK26/chicken-parmayonnaise-3-ingredients-for-an-easy-night-in,https://img.spoonacular.com/recipes/638231-556x370.jpg,289.3,19.06,4.2,0.6
Crème Fraiche Coconut Bavarians,8,45,https://www.foodista.com/recipe/XCG4HJ3G/cr-me-fraiche-coconut-bavarians,https://img.spoonacular.com/recipes/640742-556x370.jpg,410.97,22.71,17.73,44.54
