Title,Servings,Ready in (minutes),Source URL,Image,Calories,Carbs (g),Fat (g),Protein (g)
Asian Pear and Gorgonzola Salad With Pomegranate Vinaigrette,20,45,https://www.foodista.com/recipe/Z4G2VRTD/asian-pear-and-gorgonzola-salad-with-pomegranate-vinaigrette,https://img.spoonacular.com/recipes/632862-556x370.jpg,77.65,4.87,1.04,7.24
Classic Wedge Salad,4,45,https://www.foodista.com/recipe/65Q8HRP7/classic-wedge-salad,https://img.spoonacular.com/recipes/639646-556x370.jpg,449.61,42.15,10.39,7.46
Soft Croatian corn bread - proja,6,45,http://www.foodista.com/recipe/KNPY8XZG/soft-croatian-corn-bread-proja,https://img.spoonacular.com/recipes/660504-556x370.jpg,485.28,11.69,3.15,76.89
Bacon Wrapped Filet Mignon,4,45,https://www.foodista.com/recipe/XL2YFTWY/bacon-wrapped-filet-mignon,https://img.spoonacular.com/recipes/633338-556x370.jpg,97.73,8.89,2.98,0.78
Pinot Noir Brownies,16,45,https://www.foodista.com/recipe/L5G2TX8B/pinot-noir-brownies,https://img.spoonacular.com/recipes/656248-556x370.jpg,439.47,13.07,6.75,27.03
"Easy, All-Natural Protein Bars",6,15,http://spoonacular.com/1374003217513,https://img.spoonacular.com/recipes/149199-556x370.jpg,240.92,12.53,0.98,28.89
Perfect fish cakes,6,45,https://www.foodista.com/recipe/PHXS52JS/perfect-fish-cakes,https://img.spoonacular.com/recipes/655733-556x370.,416.94,24.72,4.01,28.65
Basil Coconut Ice Cream,8,45,https://www.foodista.com/recipe/CRN8C2B8/basil-coconut-ice-cream,https://img.spoonacular.com/recipes/634425-556x370.jpg,283.3,23.01,19.66,21.24
Chipotle Cheese Stuffed Black Bean Burgers with Avocado Creme,4,45,https://www.foodista.com/recipe/BBKK34SS/chipotle-cheese-stuffed-black-bean-burgers-with-avocado-creme,https://img.spoonacular.com/recipes/638744-556x370.jpg,658.45,40.81,12.96,53.16
Chia Seed Pudding,3,45,https://www.foodista.com/recipe/Q8DJWTHG/chia-seed-pudding,https://img.spoonacular.com/recipes/637832-556x370.png,143.1,6.28,0.48,19.12
Oatmeal Pancake (Yummy & Heart Healthy),2,45,https://www.foodista.com/recipe/X436YP3G/oatmeal-pancake-yummy-heart-healthy,https://img.spoonacular.com/recipes/653472-556x370.jpg,583.82,6.23,0.89,107.59
Chèvre With Sautéed Grapes,4,45,https://www.foodista.com/recipe/37LG4HNY/ch-vre-with-saut-ed-grapes,https://img.spoonacular.com/recipes/637814-556x370.jpg,254.4,19.11,9.28,11.18
Homemade Oatmeal Cream Pies,10,45,https://www.foodista.com/recipe/HPFZ4GTS/homemade-oatmeal-cream-pies,https://img.spoonacular.com/recipes/647046-556x370.jpg,543.77,30.79,11.21,66.99
Sourdough Stuffing with Sage Sausage and Apples,8,45,https://www.foodista.com/recipe/3NWY7S4X/sourdough-stuffing-with-sage-sausage-and-apples,https://img.spoonacular.com/recipes/660670-556x370.jpg,418.22,22.59,9.03,36.72
Vanilla Bean Melting Moment Cookies With Caramel Filling,10,45,https://www.foodista.com/recipe/3RS64MR2/vanilla-bean-melting-moment-cookies-with-caramel-filling,https://img.spoonacular.com/recipes/664288-556x370.jpg,407.95,25.42,16.04,41.15
Spaghetti With Pesto Trapanese,6,45,https://www.foodista.com/recipe/VWV2WXBJ/spaghetti-with-pesto-trapanese,https://img.spoonacular.com/recipes/660835-556x370.jpg,432.8,14.82,1.53,62.15
Fall Classic: Carrot Cake,16,60,https://www.foodista.com/recipe/RRV8VGF2/how-to-bake-goodness-into-classic-fall-favourites,https://img.spoonacular.com/recipes/642551-556x370.jpg,361.73,9.37,3.75,67.06
"Farfalle with fresh tomatoes, basil and mozzarella",4,15,https://www.foodista.com/recipe/B6CC3QXM/farfalle-with-fresh-tomatoes-basil-and-mozzarella,https://img.spoonacular.com/recipes/642585-556x370.jpg,556.97,14.76,4.98,89.54
Green Beans With Roasted Walnuts and Sweet Cranberries,8,45,https://www.foodista.com/recipe/JQQTZ656/green-beans-with-roasted-walnuts-and-sweet-cranberries,https://img.spoonacular.com/recipes/645419-556x370.jpg,88.49,4.33,0.71,9.06
Miso Eggplant Gratin,4,45,https://www.foodista.com/recipe/3LN2F2VC/miso-eggplant-gratin,https://img.spoonacular.com/recipes/652059-556x370.jpg,418.91,31.26,9.47,21.67
