Title,Servings,Ready in (minutes),Source URL,Image,Calories,Carbs (g),Fat (g),Protein (g)
Crunchy Prawn Skewers With Lemony Avocado Dip,4,45,https://www.foodista.com/recipe/CS5PSXJ2/crunchy-prawn-skewers-with-lemony-avocado-dip,https://img.spoonacular.com/recipes/640959-556x370.jpg,674.8,25.92,6.38,78.29
Cheddar Chile Beer Bread,12,45,https://www.foodista.com/recipe/583RP66G/cheddar-chile-beer-bread,https://img.spoonacular.com/recipes/637506-556x370.jpg,203.51,7.26,3.74,25.16
Garlic & Spice Plantain Chips,8,45,https://www.foodista.com/recipe/4LR867R5/garlic-spice-plantain-chips,https://img.spoonacular.com/recipes/644218-556x370.jpg,87.87,3.72,0.49,14.72
Walnut Pesto,12,45,https://www.foodista.com/recipe/3STVPWDF/walnut-pesto,https://img.spoonacular.com/recipes/664932-556x370.jpg,55.1,5.61,0.85,0.77
Pasta With Chicken and Broccoli,4,45,https://www.foodista.com/recipe/Y5X6DRHT/pasta-with-chicken-and-broccoli,https://img.spoonacular.com/recipes/654901-556x370.jpg,429.3,24.14,6.99,24.7
avarakkai paruppu curry recipe,3,30,https://spoonacular.com/-1458055544821,https://img.spoonacular.com/recipes/721185-556x370.jpg,215.44,12.07,0.91,23.7
Crab and Shrimp Burgers With Garlic Grits Fries,8,45,https://www.foodista.com/recipe/KG7C6P3L/crab-and-shrimp-burgers-with-garlic-grits-fries,https://img.spoonacular.com/recipes/640266-556x370.jpg,367.95,10.94,4.4,42.73
Yoghurt Honey Madeleines,15,45,https://www.foodista.com/recipe/ZRS4JSSP/yoghurt-honey-madeleines,https://img.spoonacular.com/recipes/665537-556x370.jpg,80.57,4.38,2.61,9.2
Curried Chicken Roll-Ups,4,45,https://www.foodista.com/recipe/3M5MRTD8/curried-chicken-roll-ups,https://img.spoonacular.com/recipes/641066-556x370.jpg,179.73,6.23,1.3,18.31
Classic French Mussels,2,45,https://www.foodista.com/recipe/X2W746Q6/classic-french-mussels-done-light,https://img.spoonacular.com/recipes/639599-556x370.jpg,501.23,28.32,11.97,19.25
Easy Chicken Tikka Masala,4,45,https://www.foodista.com/recipe/7Q3RC88N/easy-chicken-tikka-masala,https://img.spoonacular.com/recipes/641908-556x370.,371.05,19.97,3.03,8.84
Crepes Suzette,4,45,https://www.foodista.com/recipe/KD8ZMRJ6/crepes-suzette,https://img.spoonacular.com/recipes/640767-556x370.jpg,618.91,39.95,23.88,54.81
Cottage pie with Quorn mince,3,45,https://www.foodista.com/recipe/DBFR2JQG/cottage-pie-with-quorn-mince,https://img.spoonacular.com/recipes/640185-556x370.jpg,629.21,27.72,7.22,73.91
Traditional Panzanella,6,45,https://www.foodista.com/recipe/2RZXZMSL/traditional-panzanella,https://img.spoonacular.com/recipes/663771-556x370.jpg,356.12,15.85,2.24,44.88
Delicious Rhubarb Custard Pie,8,75,http://www.foodista.com/recipe/GFM7C4M4/delicious-rhubarb-custard-pie,https://img.spoonacular.com/recipes/641410-556x370.jpg,169.78,10.54,4.42,14.6
Raspberry Sliced,8,45,https://www.foodista.com/recipe/R8GSGSP4/raspberry-sliced,https://img.spoonacular.com/recipes/657899-556x370.jpg,207.52,10.46,5.96,24.3
Grilled Portabella and Poblano Tacos,4,45,https://www.foodista.com/recipe/52YSN467/grilled-portabella-and-poblano-tacos,https://img.spoonacular.com/recipes/645812-556x370.jpg,447.77,29.49,8.26,36.26
Chocolate Spelt Cake,8,45,https://www.foodista.com/recipe/B6XNBWP6/chocolate-spelt-cake,https://img.spoonacular.com/recipes/639209-556x370.jpg,472.34,16.47,9.27,77.74
Funghetti Trifolati,6,45,https://www.foodista.com/recipe/QWM2B5CV/funghetti-trifolati,https://img.spoonacular.com/recipes/644094-556x370.jpg,132.17,7.49,1.05,8.33
Cajun Seafood and Andouille Sausage Gumbo,4,45,https://www.foodista.com/recipe/SQBW5QGT/cajun-seafood-and-andouille-sausage-gumbo,https://img.spoonacular.com/recipes/636736-556x370.jpg,766.11,47.09,10.82,43.08
Julia Child's Boeuf Bourguignon,8,180,https://www.foodista.com/recipe/7HGJ2KZ3/julia-child-s-boeuf-bourguignon,https://img.spoonacular.com/recipes/648636-556x370.jpg,745.88,27.78,10.71,53.14
Baked Alaska,12,45,https://www.foodista.com/recipe/VX5HD22M/baked-alaska,https://img.spoonacular.com/recipes/633415-556x370.jpg,426.4,18.05,10.91,57.61
The Best Arugula Pesto,6,45,http://www.foodista.com/recipe/YRL26VJF/the-best-arugula-pesto,https://img.spoonacular.com/recipes/663206-556x370.jpg,138.67,11.52,3.39,3.63
Simple Roast Chicken,4,45,https://www.foodista.com/recipe/QFV873BT/simple-roast-chicken,https://img.spoonacular.com/recipes/660133-556x370.jpg,989.6,64.49,22.01,55.2
"Cauliflower, Leek and Cheddar Cheese Soup",4,45,https://www.foodista.com/recipe/ND5JQ3HL/cauliflower-leek-and-cheddar-cheese-soup,https://img.spoonacular.com/recipes/637323-556x370.jpg,369.37,22.98,11.66,25.65
Simply Bean Soup,1,45,https://www.foodista.com/recipe/55R4S8RW/simply-bean-soup,https://img.spoonacular.com/recipes/660161-556x370.jpg,568.35,24.67,14.63,28.55
Creamy Mushroom Soup ~ with a “Kick”,8,45,https://www.foodista.com/recipe/7PHPCY4V/creamy-mushroom-soup-with-a-kick,https://img.spoonacular.com/recipes/640663-556x370.jpg,414.49,33.21,11.35,15.55
Vegan Dirty Chai Pudding,6,45,https://www.foodista.com/recipe/LF744JQH/vegan-dirty-chai-espresso-pudding,https://img.spoonacular.com/recipes/664429-556x370.jpg,424.44,24.22,4.71,52.02
Chia Seed Pudding,3,45,https://www.foodista.com/recipe/Q8DJWTHG/chia-seed-pudding,https://img.spoonacular.com/recipes/637832-556x370.png,143.1,6.28,0.48,19.12
Easy Homemade Apple Fritters,12,30,https://www.recipeoftoday.com/2015/05/easy-homemade-apple-fritters.html?m=1,https://img.spoonacular.com/recipes/775666-556x370.jpg,148.29,0.76,0.3,34.2
Honey Sweet Corn Bread,12,45,https://www.foodista.com/recipe/HK8VXZ6Z/honey-sweet-corn-bread,https://img.spoonacular.com/recipes/647287-556x370.jpg,139.87,3.18,1.49,25.14
Crunchy Lemon Dill Vegetable Dip,10,45,https://www.foodista.com/recipe/424N56VX/crunchy-lemon-dill-vegetable-dip,https://img.spoonacular.com/recipes/640956-556x370.jpg,90.58,8.64,2.95,2.88
Paneer jalfrezi,2,45,https://www.foodista.com/recipe/DSW8B4D7/paneer-jalfrezi,https://img.spoonacular.com/recipes/654532-556x370.jpg,326.53,19.29,2.91,26.45
Hyderabadi baghara Baingan,4,45,https://www.foodista.com/recipe/BT8SH5YL/hyderabadi-baghara-baingan,https://img.spoonacular.com/recipes/647679-556x370.jpg,169.28,7.34,2.79,21.52
Crispy Buttermilk Fried Chicken,6,45,https://www.foodista.com/recipe/G2QDD6GF/crispy-buttermilk-fried-chicken,https://img.spoonacular.com/recipes/640803-556x370.jpg,363.25,26.46,6.06,14.27
Easy Homemade Rice and Beans,2,35,http://cooking2perfection.blogspot.com/2012/11/easy-homemade-rice-and-beans.html,https://img.spoonacular.com/recipes/716627-556x370.jpg,445.69,4.09,0.7,86.11
Baked Apple Pancake,4,45,https://www.foodista.com/recipe/JWHGRDK7/baked-apple-pancake,https://img.spoonacular.com/recipes/633428-556x370.jpg,734.43,42.92,8.48,78.61
Cranberry Orange Biscotti,48,60,https://www.foodista.com/recipe/KK3PZCK2/cranberry-orange-biscotti,https://img.spoonacular.com/recipes/640395-556x370.jpg,106.07,4.88,1.04,14.69
Fat Free Gingerbread Cookies,20,45,https://www.foodista.com/recipe/HSKYCYMF/fat-free-gingerbread-cookies,https://img.spoonacular.com/recipes/642620-556x370.jpg,144.75,0.23,0.05,34.24
Cinnamon & Sugar Roasted Chickpeas,4,45,https://www.foodista.com/recipe/NMPR346V/cinnamon-sugar-roasted-chickpeas,https://img.spoonacular.com/recipes/639433-556x370.jpg,152.62,4.35,0.53,24.4
Crock-Pot: Asian-Style Country Ribs with Black Bean Garlic Sauce,4,45,http://oneperfectbite.blogspot.com/2008/10/crock-pot-asian-style-country-ribs-with.html,https://img.spoonacular.com/recipes/735820-556x370.jpg,732.03,58.28,18.28,11.17
Rotisserie Chicken and Bean Tostadas,3,30,https://www.foodista.com/recipe/YQF7DW47/rotisserie-chicken-and-bean-toastatas,https://img.spoonacular.com/recipes/1098354-556x370.jpg,557.57,23.16,7.98,36.83
Spanakopita Cups,36,45,https://www.foodista.com/recipe/747T8S42/spanakopita-cups,https://img.spoonacular.com/recipes/660842-556x370.jpg,167.28,11.23,4.88,13.15
Julia Child's Coq au Vin,6,45,https://www.foodista.com/recipe/FCQYLDSL/julia-child-s-coq-au-vin,https://img.spoonacular.com/recipes/648638-556x370.jpg,778.29,41.15,13.61,55.05
Detox slaw,2,45,https://www.foodista.com/recipe/YDJN82ZL/detox-slaw,https://img.spoonacular.com/recipes/641447-556x370.jpg,264.23,19.22,2.68,21.46
Cheesy Turkey Meatballs,4,45,https://www.foodista.com/recipe/YSNQGX56/cheesy-turkey-meatballs,https://img.spoonacular.com/recipes/637690-556x370.jpg,464.77,11.62,5.04,52.83
Gingerbread,14,45,https://www.foodista.com/recipe/ZT6VVCSS/gingerbread,https://img.spoonacular.com/recipes/64694-556x370.jpg,227.55,4.05,0.47,46.02
"Broccoli Cheddar Soup, A Panera Bread Co. Copycat",4,45,https://www.foodista.com/recipe/N3TSHPQV/broccoli-cheddar-soup-a-panera-bread-co-copycat,https://img.spoonacular.com/recipes/636178-556x370.jpg,610.55,46.4,27.19,27.42
"Corn Chowder with Potatoes, Poblanos, and Smoked Gouda",6,45,https://www.foodista.com/recipe/6K74DSKF/corn-chowder-with-potatoes-poblanos-and-smoked-gouda,https://img.spoonacular.com/recipes/640077-556x370.jpg,316.27,14.01,8.34,43.82
5-Minute Blueberry Chia Jam,4,45,https://www.foodista.com/recipe/CMB4S4FT/5-minute-blueberry-chia-jam,https://img.spoonacular.com/recipes/631880-556x370.jpg,81.14,2.07,0.22,15.68
Polish Rugelach,18,45,https://www.foodista.com/recipe/RD56YVG6/polish-rugelach,https://img.spoonacular.com/recipes/656569-556x370.jpg,217.28,12.59,6.15,24.62
Chili Pie with Green Chile and Cheddar Cornbread Crust,8,60,http://www.foodista.com/recipe/R526VXXY/chili-pie-w-green-chile-cheddar-cornbread-crust,https://img.spoonacular.com/recipes/638568-556x370.jpg,643.54,39.55,15.55,53.32
Cedar Smoked Asparagus Soup,4,45,https://www.foodista.com/recipe/V2NJ3QDT/cedar-smoked-asparagus-soup,https://img.spoonacular.com/recipes/637336-556x370.jpg,168.95,7.32,1.04,24.11
Upside Down Chicken Cake,20,45,https://www.foodista.com/recipe/YVHT6RHD/upside-down-chicken-cake,https://img.spoonacular.com/recipes/664244-556x370.jpg,210.07,9.19,2.32,22.76
"Watermelon Salad with Feta, Walnut & Nigella Seeds",6,25,https://www.foodista.com/recipe/5HYNX33T/watermelon-salad-with-feta-walnut-nigella-seeds,https://img.spoonacular.com/recipes/1098388-556x370.jpg,333.85,20.8,5.71,32.64
Roasted Pumpkin and Barley Risotto,3,75,http://www.foodista.com/recipe/DBX24KMC/roasted-pumpkin-and-barley-risotto,https://img.spoonacular.com/recipes/658632-556x370.jpg,413.83,9.11,3.49,68.31
Braid sweet citrus flavored licorice,4,45,https://www.foodista.com/recipe/6W3CR35X/braid-sweet-citrus-flavored-licorice,https://img.spoonacular.com/recipes/635786-556x370.jpg,768.78,51.37,14.72,69.63
Salsa Verde By Mommie Cooks,6,45,https://www.foodista.com/recipe/T8J3626V/salsa-verde-by-mommie-cooks,https://img.spoonacular.com/recipes/659174-556x370.jpg,146.52,4.39,0.59,27.3
Tomato Stack Salad,4,45,https://www.foodista.com/recipe/KGHJG5BW/tomato-stack-salad,https://img.spoonacular.com/recipes/663638-556x370.jpg,224.05,15.2,10.37,7.64
Rigatoni With Sweet Sausages In Creamy Tomato Sauce,4,45,https://www.foodista.com/recipe/B88DK7YQ/rigatoni-with-sweet-sausages-in-creamy-tomato-sauce,https://img.spoonacular.com/recipes/658357-556x370.jpg,921.96,39.53,11.93,109.31
Simple Whole Wheat Crepes,4,45,https://fullbellysisters.blogspot.com/2014/11/simple-whole-wheat-crepes.html,https://img.spoonacular.com/recipes/716407-556x370.jpg,272.48,14.11,7.56,27.46
Spiked Watermelon lemonade,6,45,https://www.foodista.com/recipe/YTCPHJ2P/spiked-watermelon-lemonade,https://img.spoonacular.com/recipes/661240-556x370.jpg,246.18,0.45,0.05,41.19
Andouille Sausage and Potato Hash,1,45,https://www.foodista.com/recipe/K8HYX3XW/andouille-sausage-and-potato-hash,https://img.spoonacular.com/recipes/632353-556x370.jpg,241.31,4.9,0.53,46.44
Spicy Chicken with Salsa Verde,6,45,https://www.foodista.com/recipe/J2MM37RF/spicy-chicken-with-salsa-verde,https://img.spoonacular.com/recipes/661059-556x370.jpg,397.68,22.99,7.55,37.94
Fresh Fruit Ice Cream,12,45,https://www.foodista.com/recipe/PSPPB2L4/fresh-fruit-ice-cream,https://img.spoonacular.com/recipes/643487-556x370.jpg,198.03,9.7,5.98,23.57
Orange Zest Maple Date Bars,8,45,https://www.foodista.com/recipe/YFWBSYDM/orange-zest-maple-date-bars,https://img.spoonacular.com/recipes/653977-556x370.jpg,469.81,13.16,7.49,87.47
Cranberry Margarita,6,60,https://www.foodista.com/recipe/3QPRFFL5/cranberry-margarita,https://img.spoonacular.com/recipes/640383-556x370.jpg,378.62,0.33,0.03,66.63
Jade Buddha Salmon Tartare,2,45,https://www.foodista.com/recipe/7J3VXBX3/jade-buddha-salmon-tartare,https://img.spoonacular.com/recipes/648320-556x370.jpg,382.32,24.91,3.62,5.13
Chocolate Mousse in Chocolate Shell,6,45,https://www.foodista.com/recipe/K4PSTQVT/chocolate-mousse-in-chocolate-shell,https://img.spoonacular.com/recipes/639099-556x370.jpg,637.14,54.35,33.25,31.7
Fall Classic: Carrot Cake,16,60,https://www.foodista.com/recipe/RRV8VGF2/how-to-bake-goodness-into-classic-fall-favourites,https://img.spoonacular.com/recipes/642551-556x370.jpg,361.73,9.37,3.75,67.06
Cedar-Planked Salmon With Mustard Dill Sauce,6,45,https://www.foodista.com/recipe/CQSVSJHC/cedar-planked-salmon-with-mustard-dill-sauce,https://img.spoonacular.com/recipes/637335-556x370.jpg,283.69,19.41,5.64,3.06
Cheesy Ham and Shrimp Macaroni Au Gratin,4,45,https://www.foodista.com/recipe/4F3FG5W5/cheesy-ham-and-shrimp-macaroni-au-gratin,https://img.spoonacular.com/recipes/637658-556x370.jpg,672.37,20.29,6.62,97.05
Strawberry Shortcake with Homemade Donuts,6,45,https://www.foodista.com/recipe/RXJX6D4R/strawberry-shortcake-with-homemade-donuts,https://img.spoonacular.com/recipes/661889-556x370.jpg,575.88,16.49,6.99,100.49
