Title,Servings,Ready in (minutes),Source URL,Image,Calories,Carbs (g),Fat (g),Protein (g)
Korean Beef Rice Bowl,4,45,https://www.foodista.com/recipe/7LRXNC6T/korean-beef-rice-bowl,https://img.spoonacular.com/recipes/649030-556x370.jpg,669.24,25.01,8.26,78.7
Clafoutis with sour cherries,8,45,https://www.foodista.com/recipe/7SLNTGGK/clafoutis-with-sour-cherries,https://img.spoonacular.com/recipes/639537-556x370.jpg,229.77,8.26,4.35,32.97
Chicken with White Wine Tarragon Cream Sauce,4,45,https://www.foodista.com/recipe/KTPC33HB/chicken-and-cream-sauce,https://img.spoonacular.com/recipes/638455-556x370.jpg,627.74,43.88,22.08,14.79
Béarnaise Sauce,10,45,https://www.foodista.com/recipe/JFZ8WGCD/bearnaise-sauce,https://img.spoonacular.com/recipes/634553-556x370.jpg,358.11,38.79,24.04,1.34
"Spring Greens With Pears, Sugared Walnuts & Gorgonzola",6,45,https://www.foodista.com/recipe/RD88D2J7/spring-greens-with-pears-sugared-walnuts-gorgonzola,https://img.spoonacular.com/recipes/661417-556x370.jpg,362.39,27.35,8.78,20.66
Polenta Pie With Italian Toppings,6,45,https://www.foodista.com/recipe/SS2Y4VYB/polenta-pie-with-italian-toppings,https://img.spoonacular.com/recipes/656548-556x370.jpg,334.33,21.88,6.86,25.35
Beef Cottage Pie,8,45,https://www.foodista.com/recipe/VDW43TXL/shepherds-pie-cottage-pie,https://img.spoonacular.com/recipes/634605-556x370.jpg,197.54,5.74,2.14,20.71
Slow Cooker Minestrone Soup,8,45,https://www.foodista.com/recipe/ZLCGH4S4/slow-cooker-minestrone-soup,https://img.spoonacular.com/recipes/660292-556x370.jpg,148.39,1.68,0.24,28.65
Charlotte Potato Salad,4,30,https://www.foodista.com/recipe/8MHQWYGF/charlotte-potato-salad,https://img.spoonacular.com/recipes/637458-556x370.jpg,258.67,16.76,3.8,22.81
Vegan Beet Borscht,8,45,https://www.foodista.com/recipe/GG74TRBW/vegan-beetroot-borscht,https://img.spoonacular.com/recipes/664396-556x370.jpg,42.45,1.9,0.21,5.84
Chocolate Nutella Walnut Cake,8,45,https://www.foodista.com/recipe/6TRSHLD5/chocolate-nutella-walnut-cake,https://img.spoonacular.com/recipes/639114-556x370.jpg,446.69,31.87,14.65,35.25
Cheesy Turkey Meatballs,4,45,https://www.foodista.com/recipe/YSNQGX56/cheesy-turkey-meatballs,https://img.spoonacular.com/recipes/637690-556x370.jpg,464.77,11.62,5.04,52.83
Cajun Shrimp Chowder,8,30,https://www.foodista.com/recipe/B5XRTYLQ/cajun-shrimp-chowda,https://img.spoonacular.com/recipes/636742-556x370.jpg,180.16,9.51,4.67,10.79
Sweet Potato and Celery Soup,12,45,https://www.foodista.com/recipe/FKHM8SQR/sweet-potato-and-celery-soup,https://img.spoonacular.com/recipes/662551-556x370.jpg,56.7,2.37,0.34,8.41
Blackcurrant Sauce,4,45,http://www.foodista.com/recipe/6DC5YXYV/blackcurrant-sauce,https://img.spoonacular.com/recipes/635260-556x370.jpg,199.3,0.22,0.01,50.62
Crispy Buttermilk Fried Chicken,6,45,https://www.foodista.com/recipe/G2QDD6GF/crispy-buttermilk-fried-chicken,https://img.spoonacular.com/recipes/640803-556x370.jpg,363.25,26.46,6.06,14.27
90 Second Cookie in a Bowl,1,45,https://www.afrolems.com/2014/02/27/90-second-cookie-in-a-bowl/,https://img.spoonacular.com/recipes/716347-556x370.jpg,468.71,22.47,13.13,59.31
Pittata - Pizza Frittata,2,30,https://spoonacular.com/-1418233867224,https://img.spoonacular.com/recipes/622598-556x370.jpg,598.16,43.2,18.09,8.53
"Crockpot ""Refried"" Beans",16,45,http://penniesandpancakes.blogspot.com/2012/09/crockpot-refried-beans-019-per-cup.html?m=1,https://img.spoonacular.com/recipes/775585-556x370.jpg,89.06,0.45,0.09,16.59
Apple Cupcakes,15,45,http://www.foodista.com/recipe/MF3HXQC4/apple-cupcakes,https://img.spoonacular.com/recipes/632527-556x370.jpg,304.81,13.8,7.42,42.22
Chocolate Peanut Butter No-Bake Dessert,9,45,https://www.foodista.com/recipe/4SS2JLFG/chocolate-peanut-butter-no-bake-dessert,https://img.spoonacular.com/recipes/639153-556x370.jpg,633.29,34.87,17.19,73.9
Tart Raspberry Sorbet with a Hint of Heat,6,45,https://www.foodandspice.com/2012/07/tart-raspberry-sorbet-with-hint-of-heat.html,https://img.spoonacular.com/recipes/716198-556x370.jpg,40.42,0.21,0.01,9.82
Make Ahead Quiche,8,45,https://www.foodista.com/recipe/SLFFTBGD/make-ahead-quiche,https://img.spoonacular.com/recipes/650650-556x370.jpg,310.9,21.75,10.39,15.02
The Ultimate Frozen Coconut ‘Ice Cream’ with Hard Shell Chocolate Sauce,3,45,https://www.foodista.com/recipe/6N3PXD6J/the-ultimate-frozen-coconut-ice-cream-with-hard-shell-chocolate-sauce,https://img.spoonacular.com/recipes/663348-556x370.jpg,511.94,42.81,37.74,34.4
Game Day Jerk Wings,10,45,https://www.foodista.com/recipe/HZFC3WHJ/game-day-jerk-wings,https://img.spoonacular.com/recipes/644149-556x370.jpg,721.06,50.88,15.19,10.49
Dried Cranberry Chocolate Cookies,35,45,https://www.foodista.com/recipe/8J4PH6L8/dried-cranberry-chocolate-cookies,https://img.spoonacular.com/recipes/641649-556x370.jpg,177.28,5.31,2.98,30.25
Mushroom and Parmesan Brown Rice Risotto,2,45,https://www.foodista.com/recipe/LS5G883S/mushroom-and-parmesan-brown-rice-risotto,https://img.spoonacular.com/recipes/652624-556x370.jpg,524.96,32.34,9.49,44.86
Harvest Hash,4,45,https://www.foodista.com/recipe/T8MGZMZ7/harvest-hash,https://img.spoonacular.com/recipes/646317-556x370.jpg,493.84,35.64,9.16,36.08
Fudgy chocolate cream cheese brownies with Baileys,8,45,https://www.foodista.com/recipe/6DCLS47W/fudgy-chocolate-cream-cheese-brownies-with-baileys,https://img.spoonacular.com/recipes/644081-556x370.jpg,585.82,34.14,19.87,63.54
Rack of Lamb With Parsley,4,45,https://www.foodista.com/recipe/4VJNDXD2/happy-anniversary-giangi-s-kitchen,https://img.spoonacular.com/recipes/657710-556x370.jpg,536.35,48.59,20.76,4.78
Swiss Chard and Mushroom Popover Bake,4,45,https://www.foodista.com/recipe/TMFBNZ74/swiss-chard-and-mushroom-popover-bake,https://img.spoonacular.com/recipes/662668-556x370.jpg,265.78,17.7,5.29,14.17
Carrot Quinoa Muffins,12,45,https://www.foodista.com/recipe/LXQSTRQW/carrot-quinoa-muffins,https://img.spoonacular.com/recipes/637222-556x370.,295.52,18.62,12.65,28.92
Blue Cheese and Mushroom Turkey Burger,1,45,https://www.foodista.com/recipe/3JGSVVX8/blue-cheese-and-mushroom-turkey-burger,https://img.spoonacular.com/recipes/635345-556x370.jpg,126.84,0.74,0.17,24.42
Skinny Veggie Fried Rice,2,45,https://www.foodista.com/recipe/S53BXV6Z/skinny-veggie-fried-rice,https://img.spoonacular.com/recipes/660231-556x370.jpg,156.9,8.56,1.22,18.89
"Corn Chowder with Potatoes, Poblanos, and Smoked Gouda",6,45,https://www.foodista.com/recipe/6K74DSKF/corn-chowder-with-potatoes-poblanos-and-smoked-gouda,https://img.spoonacular.com/recipes/640077-556x370.jpg,316.27,14.01,8.34,43.82
S'mores-n-berry Bars for National S'mores Day - August 10,9,45,http://www.foodista.com/recipe/B4XV8XR2/s-mores-n-berry-bars-for-national-s-mores-day-august-10,https://img.spoonacular.com/recipes/658947-556x370.jpg,505.71,25.03,7.93,66.46
Mediterranean Spinach Artichoke Dip,8,45,https://www.foodista.com/recipe/SWFHGWPH/mediterranean-spinach-artichoke-dip,https://img.spoonacular.com/recipes/651437-556x370.jpg,117.7,6.89,3.87,7.57
Ginger Lentils With Carrots and Fresh Herbs,6,45,https://www.foodista.com/recipe/HXJNP3XD/ginger-lentils-with-carrots-and-fresh-herbs,https://img.spoonacular.com/recipes/644593-556x370.jpg,161.8,3.08,0.43,25.83
Pesto Chicken Zoodles,3,45,https://www.pinkwhen.com/pesto-chicken-zoodles/,https://img.spoonacular.com/recipes/780001-556x370.jpg,284.67,12.41,2.31,7.81
Garlic Lime Grilled Chicken Salad,4,30,https://www.foodista.com/recipe/2HFYQSNY/garlic-lime-grilled-chicken-salad,https://img.spoonacular.com/recipes/644306-556x370.jpg,435.8,12.84,2.31,38.64
Asian Chickpea Lettuce Wraps,6,45,https://www.foodista.com/recipe/88WZSMJ6/asian-chickpea-lettuce-wraps,https://img.spoonacular.com/recipes/632819-556x370.jpg,51.66,2.6,0.35,5.98
Avocado and Orange Salad With Orange-Ginger Dressing,4,45,https://www.foodista.com/recipe/YPMB288Y/avocado-and-orange-salad-with-orange-ginger-dressing,https://img.spoonacular.com/recipes/633126-556x370.jpg,501.49,40.33,5.77,39.22
Sterling Cooper Blini with Caviar,16,45,https://www.foodista.com/recipe/FR7746PB/sterling-cooper-blini-with-caviar,https://img.spoonacular.com/recipes/661602-556x370.jpg,83.52,7.03,4.22,3.84
Fresh Tomato Mozzarella Side Salad,8,15,https://www.foodista.com/recipe/D2XV3M76/fresh-tomato-mozzarella-salad,https://img.spoonacular.com/recipes/643633-556x370.jpg,212.09,15.5,7.85,5.0
Charred Onion Dip w. Steamed Red Potatoes for Dipping,6,45,https://fullbellysisters.blogspot.com/2014/12/charred-onion-dip-easyentertaining.html,https://img.spoonacular.com/recipes/716425-556x370.jpg,118.27,10.25,2.89,3.69
Barbecued Shrimp & Grits,6,45,https://www.foodista.com/recipe/6V5NQDLF/bbq-shrimp-grits,https://img.spoonacular.com/recipes/634318-556x370.jpg,613.32,31.07,14.42,45.66
